ID;Region;date;num;num_men;num_women;num_children;cause;location;Information Source;Location Coordinates
53618;North Africa;December 08, 2019;1;1;;;Unknown;Unspecified location in the desert, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);23.649993000000, 14.543594000000
52646;Europe;December 08, 2019;4;4;;;Hypothermia;Evros region, Greece: four bodies found near Korimvos, Greece;VICE, AP;41.353333400000, 26.197478000000
53617;North Africa;December 08, 2019;2;2;;1;Sickness or lack of access to medicines, Starvation, Vehicle Accident;Tamanrasset, Algeria;Mixed Migration Monitoring Mechanism Initiative (4Mi);22.787960000000, 5.527180000000
52645;Central America;December 07, 2019;1;1;;;Drowned;Río Bravo, near Reynosa Díaz, Tamaulipas, Mexico;Hoy Tamaulipas, Vox Pópuli, El Mañana;26.202726723500, -98.444762482291
53301;Sub-Saharan Africa;December 07, 2019;1;1;;1;Vehicle Accident;Ougadougou, Burkina Faso;Mixed Migration Monitoring Mechanism Initiative (4Mi);-1.521050000000, 12.368721000000
53614;North Africa;December 07, 2019;2;1;1;1;Sickness or lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter;Unspecified location in the desert, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);23.649993000000, 14.543594000000
53299;Sub-Saharan Africa;December 07, 2019;1;1;;;Violent death;Abidjan, Ivory Coast;Mixed Migration Monitoring Mechanism Initiative (4Mi);-4.024984000000, 5.348450000000
53613;North Africa;December 07, 2019;1;;1;;Sickness or lack of access to medicines;Tripoli, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);32.895340000000, 13.181050000000
52982;Southeast Asia;December 07, 2019;2;1;1;1;Sickness and lack of access to medicine, Starvation, Harsh weather/lack of adequate shelter;Bangkok, Thailand;Mixed Migration Monitoring Mechanism Initiative (4Mi);13.764601000000, 100.760158000000
52644;Mediterranean;December 06, 2019;1;;;;Drowned;Body recovered in Bouyafar, Morocco;Association Marocaine des Droits Humains - Section Nador;35.246158200000, -3.148969500000
52649;Central America;December 06, 2019;1;1;;;Fell from train;Near Soledad de Doblado, Veracruz, Mexico;La Nigua;19.050168300000, -96.425314000000
53298;Sub-Saharan Africa;December 06, 2019;1;;1;;Sickness or lack of access to medicines, Starvation, Dehydration, Sexual abuse;Kayes, Mali;Mixed Migration Monitoring Mechanism Initiative (4Mi);-11.444687000000, 14.435103000000
53612;North Africa;December 06, 2019;1;1;;;Sickness or lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter;Tamanrasset, Algeria;Mixed Migration Monitoring Mechanism Initiative (4Mi);22.787960000000, 5.527180000000
53297;Sub-Saharan Africa;December 06, 2019;3;3;;1;Sickness or lack of access to medicines;Tongomayel, Burkina Faso;Mixed Migration Monitoring Mechanism Initiative (4Mi);-1.432042000000, 14.077765000000
52981;Southeast Asia;December 06, 2019;2;1;1;2;Sickness or lack of access to medicines, Starvation;Kelantan State, Malaysia;Mixed Migration Monitoring Mechanism Initiative (4Mi);5.927607000000, 101.983267000000
53611;North Africa;December 06, 2019;1;1;;1;Starvation, Harsh weather/lack of adequate shelter;Ghadames, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);30.159700000000, 9.697910000000
52980;Southeast Asia;December 06, 2019;4;2;2;2;Sickness or lack of access to medicines, Violent death;Bangkok, Thailand;Mixed Migration Monitoring Mechanism Initiative (4Mi);13.777167000000, 100.791548000000
53610;North Africa;December 06, 2019;1;1;;;Starvation, Dehydration;Qatrun, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);24.934383000000, 14.633161000000
52643;Central America;December 05, 2019;1;1;;;Vehicle accident;Train tracks near Hermosillo, Sonora, Mexico;Milenio, El Imparcial;29.072983200000, -110.955929400000
52735;US-Mexico Border;December 05, 2019;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;31.715376800000, -111.395201400000
52734;US-Mexico Border;December 05, 2019;1;1;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;32.057499000000, -111.666072500000
52733;US-Mexico Border;December 05, 2019;1;1;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;32.057499000000, -111.666072500000
53303;Sub-Saharan Africa;December 05, 2019;3;3;;1;Unknown;Koro, Mali;Mixed Migration Monitoring Mechanism Initiative (4Mi);-3.083854000000, 14.071406000000
53609;North Africa;December 04, 2019;1;1;;;Sickness or lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter, Violent death;Sabratha, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);38.120720000000, 13.307010000000
53294;Sub-Saharan Africa;December 04, 2019;1;;1;;Sickness or lack of access to medicines;Cotonou, Benin;Mixed Migration Monitoring Mechanism Initiative (4Mi);2.387595000000, 6.369104000000
52638;Sub-Saharan Africa;December 04, 2019;70;;;;Drowned;Off the coast of Nouadhibou, Mauritania - boat departed from The Gambia;IOM Mauritania;20.994842600000, -17.008374800000
53291;Sub-Saharan Africa;December 04, 2019;1;;1;1;Sickness or lack of access to medicines;Ougadougou, Burkina Faso;Mixed Migration Monitoring Mechanism Initiative (4Mi);-1.521050000000, 12.368721000000
52732;US-Mexico Border;December 04, 2019;1;1;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;31.555053400000, -111.146022700000
53608;North Africa;December 03, 2019;1;1;;;Unknown;Tazirbu, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);25.679266000000, 21.075643000000
53290;Sub-Saharan Africa;December 03, 2019;1;1;;;Sickness or lack of access to medicines, Suffocation;Kaolack, Senegal;Mixed Migration Monitoring Mechanism Initiative (4Mi);-16.076174000000, 14.164412000000
53293;Sub-Saharan Africa;December 02, 2019;1;;1;;Sickness or lack of access to medicines;Bamako, Mali;Mixed Migration Monitoring Mechanism Initiative (4Mi);-7.995856000000, 12.617282000000
53607;Sub-Saharan Africa;December 02, 2019;1;1;;1;Sickness or lack of access to medicines, Starvation, Violent death;Agadez, Niger;Mixed Migration Monitoring Mechanism Initiative (4Mi);16.973140000000, 7.989740000000
52637;US-Mexico Border;December 02, 2019;1;1;;;Drowned;Río Bravo, near La Playita, Ejido Reynosa Díaz, Reynosa, Tamaulipas, Mexico;La Tarde, El Mañana;26.036051500000, -98.288571400000
52930;Sub-Saharan Africa;December 01, 2019;1;;;;Sickness or lack of access to medicines;Niamey, Niger;IOM Niger;13.511596300000, 2.125385400000
53289;Sub-Saharan Africa;December 01, 2019;2;1;1;1;Unknown;Gao, Mali;Mixed Migration Monitoring Mechanism Initiative (4Mi);-0.028555000000, 16.261959000000
52668;US-Mexico Border;November 30, 2019;1;;1;;Sickness and lack of access to medicine;Recovered on a ranch in Brooks County, Texas, USA;Breitbart Texas;27.145345721607, -98.231694302749
52929;Sub-Saharan Africa;November 30, 2019;12;;;;Dehydration;Mao, Chad;IOM Chad;14.131024700000, 15.318972600000
52820;Mediterranean;November 29, 2019;70;;4;10;Drowned;Unspecified location in Maltese territorial waters;Alarm Phone;34.733997112177, 14.773974825254
52633;Mediterranean;November 28, 2019;3;;;;Drowned;Unspecified location off the coast of Libya (reported by survivors intercepted and disembarked at Alhamidya, Libya);IOM Libya;32.906561900000, 13.258396700000
52636;Europe;November 28, 2019;2;;;;Vehicle accident;Ljubljana-Koper motorway, near the town of Vrhnika, Slovenia;Slovenian Police via IOM Slovenia, Total Slovenia News, L'Avenir, L'Orient-Le Jour;45.967034400000, 14.298533000000
52731;US-Mexico Border;November 27, 2019;1;;;;Unknown;Pima County jurisdiction, Arizona, USA;Pima County Office of the Medical Examiner;32.057701900000, -112.143021500000
53606;North Africa;November 27, 2019;2;;1;1;Sickness or lack of access to medicines, Dehydration;Kufra, Libya;Mixed Migration Monitoring Mechanism Initiative (4Mi);23.848018000000, 21.993292000000
